,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
0,2022-03-04,AAL,2023-03-01,362 days,99.19678714859438,9999.959983825684,10127.519981384277,-0.00040016174316406247,9.86977737489741,-0.0004049829605112798,3.4118215772058944,0.0,0.0,0.0,-3.4887120616731937,-0.605497250199037,314 days,50 days,28,64.28571428571429,52.57009283321188,-37.04253227234938,3.2396409948047378,202 days,122 days,1.8490345931230363,6.220343428618738
1,2022-06-14,AAN,2022-11-02,141 days,80.8080808080808,9978.49195098877,10000.0,-0.21508049011230468,-40.33194867710106,-0.5465680671926765,0.2769699142386178,0.0,0.0,0.0,-0.30359100341796896,-0.30359100341796896,140 days,140 days,4,0.0,-0.6776275144775301,-19.282842685751824,-9.593502756271011,93 days,30 days,0.0,-9.34123941138099
2,2022-03-02,AAPL,2023-03-13,376 days,99.22779922779922,8650.490142822266,10325.667724609375,-13.495098571777344,-9.11292678768105,-13.155500244535666,25.803206418530156,0.0,0.0,0.0,-28.853683305892442,-14.971155787201523,364 days,183 days,123,45.52845528455284,20.924735506683923,-19.344693191287366,-0.7305638320293961,61 days,32 days,0.9180995870689491,-0.32290452708498696
3,2022-05-16,AAP,2022-11-21,189 days,88.63636363636364,8815.669494628906,10640.765808105469,-11.843305053710937,-29.39638104508505,-21.38826335438767,15.97170111741103,0.0,0.0,0.0,-17.151926340548897,-4.16967149583615,96 days,30 days,8,12.5,22.795091579087146,-25.23851725797327,-9.952404052803466,157 days,77 days,0.23912741731392426,-9.066379964481655
4,2022-05-06,AAWW,2022-08-05,91 days,39.682539682539684,10260.879989624023,10260.879989624023,2.6087998962402343,40.29283857305078,10.850698144931092,2.74046401256818,3.9594382904384657,98.56370142880972,172.94633957582136,-0.06274025903956204,-0.031435232171228567,10 days,8 days,3,66.66666666666666,68.92464231802326,-0.19445622049111266,24.393993192427963,29 days,12 days,427.3160403901843,27.63326864967059
5,2022-03-22,AA,2023-02-27,342 days,98.72340425531915,9166.78988647461,10000.0,-8.332101135253907,-46.214623688965204,-8.907198513134906,9.360924966435817,0.0,0.0,0.0,-11.941527404785157,-11.941527404785157,340 days,340 days,13,30.76923076923077,23.78502410489851,-47.972456402132444,-16.654342346026418,296 days,115 days,0.26142030066512195,-13.432858867887814
6,2022-03-02,ABBV,2023-02-28,363 days,94.8,10573.570739746094,10841.932556152344,5.735707397460938,6.811684287904008,5.782895054767123,16.777797404633617,0.3446754609857209,0.5068574982889443,0.5227865702438537,-11.061674847671954,-2.8710365213398337,163 days,29 days,25,64.0,15.617119139801927,-10.636125514136985,2.1934202473700815,278 days,133 days,2.1949694909810145,2.4343680060839366
7,2022-04-21,ABB,2022-07-26,96 days,93.93939393939394,10019.322143554688,10021.304878234863,0.193221435546875,-13.302756450422617,0.7397655842910522,0.4652619405879564,1.5899980629324693,2.5877602772956045,4.752336407288327,-0.15566355596302595,-0.08092615496968492,36 days,17 days,4,75.0,8.898437915362145,-0.5921220096563706,3.6081505571456285,47 days,26 days,25.749298620126577,3.6636511091337476
8,2022-03-03,ABC,2022-12-23,295 days,88.83495145631069,10841.2421875,11090.354736328125,8.412421875,17.95169918312843,10.38555144490234,9.921520466785179,1.046770147748082,1.7338868667032201,2.3848603374224733,-4.354783918343374,-1.8184186169474468,151 days,28 days,13,92.3076923076923,20.469039978048208,-5.956856187979742,7.548706372646108,224 days,95 days,17.980065960927988,7.780600845512159
9,2022-04-28,ABG,2022-05-03,5 days,0.0,10000.0,10000.0,0.0,12.044652219127691,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
10,2022-04-19,ABMD,2022-11-04,199 days,94.28571428571428,10312.119995117188,10362.400024414062,3.1211999511718753,15.636007268282452,5.68815691140343,8.751800815652363,0.649941312790199,1.6439658551869105,2.0240978237046208,-2.810218382129692,-1.4287926215129143,91 days,48 days,2,50.0,30.084953448527752,-1.1089943253880463,13.420597202007322,189 days,96 days,27.128140117399408,14.487979561569853
11,2022-03-08,ABM,2022-03-11,3 days,0.0,10000.0,10000.0,0.0,4.379397749954186,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
