,Increasing_precision,Increasing_recall,Increasing_f1-score,Increasing_support,Decreasing_precision,Decreasing_recall,Decreasing_f1-score,Decreasing_support,Neutral_precision,Neutral_recall,Neutral_f1-score,Neutral_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,0.38321568089918445,1.0,0.554093893224328,11183,0.0,0.0,0.0,10709,0.0,0.0,0.0,7290,0.38321568089918445,0.12773856029972816,0.3333333333333333,0.18469796440810934,29182,0.14685425808702557,0.38321568089918445,0.21233746857404087,29182
1,0.3832076764907471,0.9999105785567379,0.5540717984292546,11183,0.5,9.337940050424876e-05,0.00018672392867145925,10709,0.0,0.0,0.0,7290,0.38321568089918445,0.294402558830249,0.3333346526524141,0.18475284078597534,29182,0.3303375863955872,0.38321568089918445,0.21239752410343693,29182
2,0.38321568089918445,1.0,0.554093893224328,11183,0.0,0.0,0.0,10709,0.0,0.0,0.0,7290,0.38321568089918445,0.12773856029972816,0.3333333333333333,0.18469796440810934,29182,0.14685425808702557,0.38321568089918445,0.21233746857404087,29182
3,0.38322080948627435,0.9999105785567379,0.5540855259897923,11183,0.6666666666666666,0.00018675880100849752,0.00037341299477221804,10709,0.0,0.0,0.0,7290,0.3832499485984511,0.34996249205098034,0.3333657791192488,0.18481964632818818,29182,0.3915047510732074,0.3832499485984511,0.2124712945276151,29182
4,0.3831865382638199,0.9998211571134759,0.5540359744313959,11183,0.3333333333333333,9.337940050424876e-05,0.00018670649738610902,10709,0.0,0.0,0.0,7290,0.3831814131999178,0.23883995719905107,0.33330484550466005,0.1847408936429273,29182,0.2691673539877652,0.3831814131999178,0.21238378938889751,29182
5,0.38316539858797727,0.9997317356702137,0.5540001486583583,11183,0.25,9.337940050424876e-05,0.00018668906935498925,10709,0.0,0.0,0.0,7290,0.3831471455006511,0.2110551328626591,0.333275038356906,0.1847289459092378,29182,0.23857818697859468,0.3831471455006511,0.21237005399527598,29182
6,0.3831807741094998,0.9994634713404275,0.5539750198255353,11183,0.5384615384615384,0.0006536558035297414,0.001305726543555307,10709,0.0,0.0,0.0,7290,0.3832499485984511,0.30721410419034606,0.33337237571465245,0.1850935821230302,29182,0.3444416151138082,0.3832499485984511,0.21277108053813637,29182
7,0.38315226704136535,0.9997317356702137,0.5539864228729994,11183,0.0,0.0,0.0,10709,0.0,0.0,0.0,7290,0.3831128778013844,0.12771742234712177,0.33324391189007124,0.18466214095766645,29182,0.14682995690232298,0.3831128778013844,0.21229628425017996,29182
8,0.38316251328283,0.9995528927836895,0.5539696699375557,11183,0.4444444444444444,0.00037351760201699503,0.0007464079119238664,10709,0.0,0.0,0.0,7290,0.3831814131999178,0.2758689859090915,0.33330880346190217,0.18490535928315985,29182,0.3099329018435147,0.3831814131999178,0.21256377565761353,29182
9,0.38320992732757436,0.9996423142269516,0.5540329575021683,11183,0.6,0.0005602764030254926,0.001119507416736636,10709,0.0,0.0,0.0,7290,0.38328421629771775,0.32773664244252476,0.3334008635433257,0.18505082163963496,29182,0.3670357280962327,0.38328421629771775,0.21272494581154755,29182
