,date,stock,pred_label,confidence
0,2022-04-25,A,0,0.7578031420707703
1,2022-04-26,A,0,0.5335949063301086
2,2022-06-22,A,0,0.9999988079071045
3,2022-08-16,A,1,0.5127244591712952
4,2022-08-17,A,2,0.996016800403595
5,2022-11-04,A,1,0.9905447959899902
6,2022-03-22,AA,0,0.9999793767929077
7,2022-03-24,AA,1,0.9999784231185913
8,2022-04-19,AA,1,0.5288113951683044
9,2022-04-20,AA,0,0.9993100166320801
10,2022-04-21,AA,0,0.6846400499343872
11,2022-04-22,AA,0,0.9035334587097168
12,2022-05-04,AA,0,0.9995741248130798
13,2022-06-23,AA,1,0.9435481429100037
14,2022-07-21,AA,1,0.9999755620956421
15,2022-10-17,AA,1,0.9010174870491028
16,2022-10-19,AA,0,0.5400075316429138
17,2022-10-20,AA,1,0.9905447959899902
18,2023-01-18,AA,0,0.9999406337738037
19,2023-01-19,AA,1,0.9684762358665466
20,2023-01-20,AA,1,0.9681612253189087
21,2023-02-22,AA,0,0.9960421323776245
22,2022-03-04,AAL,0,0.9599640965461731
23,2022-03-07,AAL,0,0.992920458316803
24,2022-03-08,AAL,1,0.9999755620956421
25,2022-03-18,AAL,0,0.9999995231628418
26,2022-04-11,AAL,1,0.9975360631942749
27,2022-04-13,AAL,1,0.9861158132553101
28,2022-04-18,AAL,0,0.9961979985237122
29,2022-04-19,AAL,0,0.7327194213867188
30,2022-04-21,AAL,0,0.9950679540634155
31,2022-04-22,AAL,0,0.6257684826850891
32,2022-04-26,AAL,0,0.5693706274032593
33,2022-04-28,AAL,0,0.9886680245399475
34,2022-05-04,AAL,0,0.8591603636741638
35,2022-06-23,AAL,0,0.9334133267402649
36,2022-06-27,AAL,0,0.9892475008964539
37,2022-07-07,AAL,0,0.8942878842353821
38,2022-07-12,AAL,2,0.9994687438011169
39,2022-07-13,AAL,0,0.6903700828552246
40,2022-07-18,AAL,0,0.9919445514678955
41,2022-07-21,AAL,1,0.6417631506919861
42,2022-08-08,AAL,2,0.9994407296180725
43,2022-08-09,AAL,0,0.8748259544372559
44,2022-10-04,AAL,1,0.9010174870491028
45,2022-10-06,AAL,0,0.5539785623550415
46,2022-10-11,AAL,0,0.9999995231628418
47,2022-10-14,AAL,0,0.9975109100341797
48,2022-10-17,AAL,1,0.9905447959899902
49,2022-10-18,AAL,1,0.9905447959899902
50,2022-10-20,AAL,0,0.8443957567214966
51,2022-10-21,AAL,1,0.9998528957366943
52,2022-10-28,AAL,0,0.9215205311775208
53,2022-12-08,AAL,1,0.8923850059509277
54,2022-12-12,AAL,1,0.7773458361625671
55,2022-12-19,AAL,1,0.9999923706054688
56,2023-01-10,AAL,0,0.9988285899162292
57,2023-01-12,AAL,0,0.7425961494445801
58,2023-01-19,AAL,0,0.7751191258430481
59,2023-01-20,AAL,0,0.9987465143203735
60,2023-01-26,AAL,0,0.9985874891281128
61,2023-01-30,AAL,2,0.5176098346710205
62,2023-02-01,AAL,0,0.9539421796798706
63,2023-02-07,AAL,1,0.5053043365478516
64,2023-02-24,AAL,0,0.5966171622276306
65,2022-06-14,AAN,2,0.4483257234096527
66,2022-06-15,AAN,1,0.6269181966781616
67,2022-06-22,AAN,0,0.9691616892814636
68,2022-06-29,AAN,1,0.9926451444625854
69,2022-07-14,AAN,0,0.7767236232757568
70,2022-07-26,AAN,0,0.9999995231628418
71,2022-07-27,AAN,0,0.9516742825508118
72,2022-10-03,AAN,1,0.9999072551727295
73,2022-10-27,AAN,2,0.9913062453269958
74,2022-10-28,AAN,1,0.9999970197677612
75,2022-05-16,AAP,1,0.9508907794952393
76,2022-05-17,AAP,0,0.996259331703186
77,2022-05-18,AAP,0,0.9160146117210388
78,2022-05-19,AAP,0,0.9991881251335144
79,2022-05-20,AAP,1,0.56722092628479
80,2022-05-23,AAP,0,0.9999995231628418
81,2022-06-13,AAP,0,0.5924174785614014
82,2022-06-14,AAP,0,0.5811834931373596
83,2022-06-30,AAP,1,0.9335695505142212
84,2022-08-16,AAP,0,0.9999995231628418
85,2022-08-17,AAP,1,0.999262273311615
86,2022-08-23,AAP,0,0.616809606552124
87,2022-11-15,AAP,2,0.9514471888542175
88,2022-11-16,AAP,0,0.998404324054718
89,2022-03-02,AAPL,1,0.9999855756759644
90,2022-03-03,AAPL,1,0.9984472393989563
91,2022-03-04,AAPL,0,0.682303786277771
92,2022-03-07,AAPL,0,0.6796547770500183
93,2022-03-08,AAPL,0,0.9994586110115051
94,2022-03-09,AAPL,0,0.9690428972244263
95,2022-03-10,AAPL,0,0.9999992847442627
96,2022-03-11,AAPL,1,0.6149955987930298
97,2022-03-14,AAPL,0,0.9464657306671143
98,2022-03-15,AAPL,0,0.8887012004852295
99,2022-03-16,AAPL,0,0.9999402761459351
100,2022-03-17,AAPL,0,0.9999995231628418
101,2022-03-18,AAPL,0,0.9957928657531738
102,2022-03-21,AAPL,0,0.9999995231628418
103,2022-03-22,AAPL,0,0.9945185780525208
104,2022-03-23,AAPL,0,0.6832051873207092
105,2022-03-24,AAPL,1,0.9949158430099487
106,2022-03-25,AAPL,0,0.7478012442588806
107,2022-03-28,AAPL,1,0.946422815322876
108,2022-03-29,AAPL,1,0.9999231100082397
109,2022-03-30,AAPL,1,0.5520490407943726
110,2022-03-31,AAPL,0,0.8412391543388367
111,2022-04-01,AAPL,0,0.713556170463562
112,2022-04-04,AAPL,0,0.516165554523468
113,2022-04-05,AAPL,0,0.6159474849700928
114,2022-04-06,AAPL,0,0.9999818801879883
115,2022-04-07,AAPL,0,0.7327194213867188
116,2022-04-08,AAPL,0,0.9999995231628418
117,2022-04-11,AAPL,2,0.9276086688041687
118,2022-04-12,AAPL,1,0.9990401864051819
119,2022-04-13,AAPL,0,0.5447300672531128
120,2022-04-14,AAPL,0,0.9546021223068237
121,2022-04-18,AAPL,2,0.9994781613349915
122,2022-04-19,AAPL,0,0.6780675649642944
123,2022-04-20,AAPL,0,0.9999995231628418
124,2022-04-21,AAPL,0,0.6352337002754211
125,2022-04-22,AAPL,1,0.8693304657936096
126,2022-04-25,AAPL,1,0.9905447959899902
127,2022-04-26,AAPL,0,0.8646131157875061
128,2022-04-27,AAPL,0,0.975527286529541
129,2022-04-28,AAPL,0,0.9999995231628418
130,2022-04-29,AAPL,0,0.6509649753570557
131,2022-05-02,AAPL,1,0.9999923706054688
132,2022-05-03,AAPL,2,0.9990683197975159
133,2022-05-04,AAPL,2,0.8749163746833801
134,2022-05-05,AAPL,1,0.9800122380256653
135,2022-05-06,AAPL,0,0.7516293525695801
136,2022-05-09,AAPL,1,0.9144433736801147
137,2022-05-10,AAPL,0,0.5167076587677002
138,2022-05-11,AAPL,0,0.9999992847442627
139,2022-05-12,AAPL,0,0.9999406337738037
