date,title,stock,close,volume,1_past_close,2_past_close,3_past_close,4_past_close,5_past_close,next_close,next_volume,label
2010-06-18,"J.P. Morgan Raises Estimates, Reiterates Buy Rating On J.M. Smucker (SJM) ",SJM,0.0089356329163376,-0.3704307502807665,0.0658006948197071,0.0036496776474825,0.0119596375594619,0.0140893044676577,-0.0047926311415316,-0.0037037358208984,-0.5243411209575325,2
2010-08-20,"Stocks To Watch For August 20 (HPQ, HRL, DELL, SJM, CRM)",SJM,0.0279171109165192,0.0817945865776788,-0.0159403760449947,-0.003211885057784,0.0137078082387673,0.0036117145914051,0.0037976479355037,0.002346579899523,-0.3646833013435701,2
2011-06-09,News Summary,SJM,0.0227776024119814,0.5802968960863697,-0.0182493193564781,0.0063368190474693,-0.0110001781071726,-0.0097529377303628,-0.0049154637933044,-0.0143346386707728,-0.1861656703672075,1
2011-06-09,A Peek Into The Market Before The Trading Starts,SJM,0.0227776024119814,0.5802968960863697,-0.0182493193564781,0.0063368190474693,-0.0110001781071726,-0.0097529377303628,-0.0049154637933044,-0.0143346386707728,-0.1861656703672075,1
2011-08-16,"News Summary for August 16, 2011",SJM,-0.0134370330374029,1.4338446788111217,0.0144326485481864,0.0087622800281239,0.0322854806295231,0.0096950016033006,0.0166002991349061,0.0089466616305258,-0.3592672838290329,0
2011-08-16,A Peek Into The Market Before The Trading Starts,SJM,-0.0134370330374029,1.4338446788111217,0.0144326485481864,0.0087622800281239,0.0322854806295231,0.0096950016033006,0.0166002991349061,0.0089466616305258,-0.3592672838290329,0
2011-08-18,A Peek Into The Market Before The Trading Starts,SJM,-0.0733195559819702,1.7480786965877653,0.0089466616305258,-0.0134370330374029,0.0144326485481864,0.0087622800281239,0.0322854806295231,-0.0314195645908927,0.3790480451926841,1
2011-08-18,Earnings Scheduled For August 18,SJM,-0.0733195559819702,1.7480786965877653,0.0089466616305258,-0.0134370330374029,0.0144326485481864,0.0087622800281239,0.0322854806295231,-0.0314195645908927,0.3790480451926841,1
2011-09-15,"Financial Breakfast: Morning News Summary for September 15, 2011",SJM,0.0169888920783964,-0.1207240782643418,0.0104678214682105,0.0111485329787097,0.0014130401565533,-0.0161288030937679,-0.004705278552476,-0.0004075848491423,0.6318498334847109,2
2011-11-17,Earnings Scheduled For November 17,SJM,-0.0181745857066153,0.0486563920173879,-0.0325223673670673,-0.0040810559605664,-0.0119686460976248,-0.000780262128602,0.0130367608651438,0.0339593863801068,-0.3775966837816195,0
2011-11-17,"Financial Breakfast: Morning News Summary for November 17, 2011",SJM,-0.0181745857066153,0.0486563920173879,-0.0325223673670673,-0.0040810559605664,-0.0119686460976248,-0.000780262128602,0.0130367608651438,0.0339593863801068,-0.3775966837816195,0
2012-05-15,"Financial Breakfast: Morning News Summary for May 15, 2012",SJM,-0.0022060871305469,0.0337354324269065,0.003777549014063,-0.0029871013595821,0.0159652245387116,0.0014534936264385,-0.0003938786730558,0.0097542715831633,0.071993670886076,0
2012-06-07,"Social Media Outlook for Thursday June 7 (NAV, SJM, TPX, ABT)",SJM,0.0005255536383481,0.1993667430942243,0.0184813871200839,-0.0099442548056173,0.0080194045877677,-0.0227270711949459,-0.0099576230377839,-0.0044678889540963,-0.1693218024578971,2
2012-07-27,"Amid Soaring Growth, ETF Industry Misses Good Ideas",SJM,0.0057953277155589,0.1297024143739471,0.0119969366936956,0.0005334591022008,-0.0118607015054005,-0.0088818484790451,-0.0050681859241666,0.011524667000486,-0.1647614314115307,0
2012-08-13,J.M. Smucker and Campbell Soup Rise on Goldman Sachs Upgrades,SJM,0.0157757304539323,0.90260663507109,-0.0016918859098298,0.0,0.0072101011209804,0.0028730879489877,0.0109566693223424,-0.0008985457148695,-0.3452484742807323,2
2012-11-09,"The Week Ahead: Home Depot, Dell, Walmart Earnings; European GDP",SJM,0.0060844311324042,-0.2605534235507978,-0.0091031126522831,-0.0137571721363171,0.0107234714161137,-0.0023515572810957,-0.0040978608334552,0.0122141336475358,0.2466539196940727,0
2012-11-16,"Benzinga Market Primer, Friday, November 16",SJM,-0.017803184088346,1.4691825972313777,-0.0037335659885959,-0.0095922598767246,0.0197983766139981,0.0122141336475358,0.0060844311324042,0.0075129300809055,-0.3554027898284723,0
2012-12-17,"Spotlight on Coffee Stocks (JVA, DNKN, GMCR, SBUX)",SJM,0.0064396441969174,0.018616021060549,-0.0043505880045963,-0.0055791166857982,0.0011398558417612,-0.0005699449919317,-0.0002274248116596,-0.0019421530774628,-0.4735093225032305,2
2013-02-08,"The Week Ahead: Earnings from McGraw-Hill, Cisco, Pepsi; Chinese New Year",SJM,0.0029247787989039,-0.0711297071129707,-0.002132844525583,-0.0043585623865848,0.0069773251567943,-0.0103573648516079,0.0130882192594745,-0.0045984981725053,0.5122522522522523,2
2013-02-19,Is This ETF Home to Buffett's Next Target?,SJM,-0.0070346294133154,-0.2544871794871794,0.0026036795807691,0.0202596217924972,-0.0007747233975599,0.0244506814018072,-0.0045984981725053,-0.0005449839415663,0.3007738607050731,2
2013-04-11,Shocker: A Bullish Call on Staples ETFs,SJM,0.0080809757373803,-0.1564918314703353,0.0081465035630508,-0.0010174413015801,0.0018342467058778,-0.0086887732511761,0.0115486897799039,0.0130260461122191,0.0244648318042812,0
2013-08-16,"Weekly Preview: FOMC Minutes, Housing Market In Focus",SJM,-0.0009961892106787,-0.0615419812399908,-0.0190103887617854,-0.0067060859845999,0.0035240735105499,0.0018533119652706,0.0021228422730816,-0.0114213645388766,0.7745002437835202,1
2013-11-20,"Market Wrap For November 20: Inflation Data Points To ""No"" Tapering, Fed Meeting Notes Points To ""Yes"" Tapering",SJM,-0.0653835206211396,8.25829081632653,-0.0029383771697913,-0.0040236091142337,0.0038556201345654,0.0092652154072294,0.010296900268059,0.0150754738684324,-0.5201832334504375,0
2013-12-05,Market Wrap For December 5: Market Participants Anxiously Await Tomorrow's Employment Report,SJM,-0.0234850353348862,0.1177673095724824,-0.0021907530871165,0.0050744367618045,0.0020146411222612,-0.0129722633783246,-9.467299798138208e-05,0.0198459012871303,-0.3189408396946565,0
2014-01-08,Market Wrap For January 8: Fed Minutes Released,SJM,-0.0329978632728054,0.7415015896307167,0.0061444988031602,-0.0060093576019299,-0.0050964063970871,-0.0153446789687985,-0.00028932259772,-0.0019353933766848,-0.1796798202499648,2
2014-02-14,Market Wrap For February 14: Markets End the Week Positive,SJM,-0.0350010419747534,2.3872502378686966,0.0152599937534982,0.0027819789838203,0.0035220711371197,0.0035345199678822,-0.0023510509251003,0.0381221094877077,-0.5624765917602996,0
2014-02-14,Market Wrap For February 14: Markets End The Week Positive,SJM,-0.0350010419747534,2.3872502378686966,0.0152599937534982,0.0027819789838203,0.0035220711371197,0.0035345199678822,-0.0023510509251003,0.0381221094877077,-0.5624765917602996,0
2014-02-19,"Market Wrap For February 19: Stocks Close Lower, Nasdaq Ends Winning Streak",SJM,0.0025180312359645,-0.1974212187683912,0.0381221094877077,-0.0350010419747534,0.0152599937534982,0.0027819789838203,0.0035220711371197,0.0285714402132419,0.4713019132057863,0
2014-02-19,"Market Wrap For February 19: Stocks Close Lower, Nasdaq Ends its Winning Streak",SJM,0.0025180312359645,-0.1974212187683912,0.0381221094877077,-0.0350010419747534,0.0152599937534982,0.0027819789838203,0.0035220711371197,0.0285714402132419,0.4713019132057863,0
2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails to Extend to Five Days,SJM,0.0011246176708001,-0.1814213375240091,0.0066915579838333,-0.001028680950154,0.0078775236499735,0.0042673652231415,0.0014598405356562,-0.0035745713303153,0.3139931740614334,2
2014-04-03,Market Wrap For April 3: Markets Winning Streak Fails To Extend To Five Days,SJM,0.0011246176708001,-0.1814213375240091,0.0066915579838333,-0.001028680950154,0.0078775236499735,0.0042673652231415,0.0014598405356562,-0.0035745713303153,0.3139931740614334,2
