,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
0,2022-03-04,AAL,2023-04-03,395 days,26.47058823529412,9992.39998626709,10011.339984893799,-0.07600013732910156,-1.1651821419878015,-0.07041385986814586,0.13943311917945544,0.0,0.0,0.0,-0.21535568626908086,-0.06468500988962844,340 days,92 days,40,47.5,7.087828264556606,-5.847519973864657,-0.19934551201343798,3 days,2 days,0.8760496146580314,-0.15430549510096175
1,2022-06-29,AAMC,2022-07-29,30 days,9.090909090909092,10009.720001220703,10009.720001220703,0.09720001220703126,78.79999160766602,1.1190563158014477,0.3404646272763954,3.286850457134207,inf,,-0.0,,,,1,100.0,14.763064643594648,14.763064643594648,14.763064643594648,1 days,1 days,,14.763064643594648
2,2022-06-14,AAN,2022-11-02,141 days,15.151515151515152,9995.74164390564,10000.0,-0.042583560943603514,-40.33194867710106,-0.10835885379089083,0.06488940165987497,0.0,0.0,0.0,-0.06518602371216042,-0.06518602371216042,140 days,140 days,8,37.5,4.550035967340227,-5.336575965032897,-1.017566128532288,3 days,2 days,0.47090335344757,-0.970885455128423
3,2022-04-18,AAOI,2022-07-05,78 days,14.814814814814813,10001.199999332428,10001.239999294281,0.011999993324279784,-49.67105294115987,0.05601229014826625,0.06571036267441277,0.8524118246889103,1.7407199425555466,3.1825160718215657,-0.017600002288820082,-0.00899997615678716,13 days,9 days,5,40.0,12.648218848279935,-6.716420234086118,1.5060253044483884,3 days,2 days,1.8249854417054479,1.7426295980297324
4,2022-03-02,AAPL,2023-04-25,419 days,98.96193771626297,9859.862396240234,10043.625762939453,-1.4013760375976563,-0.8499209673777298,-1.2230631222819977,2.8970487105390337,0.0,0.0,0.0,-1.9527158692509317,-0.7214326481358129,260 days,59 days,264,50.378787878787875,7.555256360462237,-8.897456365827372,-0.06975902257766453,4 days,2 days,0.9456738451388284,-0.0464707433266658
5,2022-05-16,AAP,2022-11-21,189 days,14.393939393939394,10316.423583984375,10316.423583984375,3.1642358398437502,-29.39638104508505,6.1276156383468505,3.4551527458173754,1.7734717070799886,4.080719849513152,5.671293035768596,-1.0804618276114897,-1.0804618276114897,97 days,97 days,13,76.92307692307693,15.059260996491952,-7.232104115146242,2.6286936347641676,3 days,2 days,5.572375958679743,2.7735853672187227
6,2022-04-26,AAT,2022-06-17,52 days,5.263157894736842,9994.491012573242,10000.0,-0.05508987426757813,-16.877289626577497,-0.3647666224022128,0.1432486882424854,0.0,0.0,0.0,-0.05508987426757761,-0.05508987426757761,7 days,7 days,1,0.0,-4.632324770441166,-4.632324770441166,-4.632324770441166,3 days,3 days,0.0,-4.632324770441166
7,2022-05-06,AAWW,2022-08-05,91 days,14.285714285714285,10064.839981079102,10064.839981079102,0.6483998107910156,40.29283857305078,2.6189337994964923,1.5974986962301911,1.639396517616386,10.120740674422537,13.120906405692677,-0.19960006713867218,-0.19960006713867218,34 days,34 days,5,40.0,10.77028240460136,-4.12404758765148,0.8613475897227829,1 days,1 days,1.6428292270068654,0.9977731884752993
8,2022-03-22,AA,2023-04-24,398 days,10.948905109489052,9827.397148132324,10012.300262451172,-1.7260285186767577,-57.33373027564529,-1.5885491743501179,1.1784839136941547,0.0,0.0,0.0,-1.8467595804361192,-1.8467595804361192,370 days,370 days,18,33.33333333333333,6.689741856083387,-16.944669936460656,-2.30385581260083,3 days,2 days,0.30550793080210487,-2.1631227718803276
9,2022-03-02,ABBV,2023-03-29,392 days,23.247232472324722,9972.435455322266,10036.386322021484,-0.27564544677734376,9.657227514566564,-0.25634454342019497,0.5192532654210058,0.0,0.0,0.0,-0.8251707250011786,-0.8251707250011786,341 days,341 days,35,54.285714285714285,2.8507577239853754,-4.166966846417974,-0.097333308476788,4 days,2 days,0.8685525716288278,-0.08561367698283227
10,2022-04-21,ABB,2022-07-26,96 days,12.121212121212121,9996.539909362793,10000.233261108398,-0.03460090637207031,-13.302756450422617,-0.13204815254720392,0.0642366934211743,0.0,0.0,0.0,-0.03693265596083073,-0.02429793198432395,42 days,23 days,4,25.0,1.1908614371183845,-2.214957814823304,-0.5371438078705326,1 days,1 days,0.3597481590102821,-0.5298506805262865
11,2022-04-01,ABCB,2022-07-20,110 days,13.333333333333334,9998.00951385498,10000.0,-0.019904861450195314,-0.7753540662660227,-0.06686462721395836,0.14963894230732908,0.0,0.0,0.0,-0.06960197448730998,-0.06960197448730998,107 days,107 days,6,33.33333333333333,6.017115132362449,-3.6156213304879614,0.3364768145441399,3 days,2 days,1.3015073372454742,0.3982467759868287
12,2022-03-07,ABCL,2022-11-15,253 days,2.824858757062147,9982.319999694824,10000.0,-0.1768000030517578,75.00000287945153,-0.25162093997480595,0.12504972320124616,0.0,0.0,0.0,-0.17680000305175803,-0.17680000305175803,188 days,188 days,3,0.0,-5.189776020239489,-17.30769727741812,-10.747589929765123,1 days,1 days,0.0,-10.60386956016118
